Title,Category,Auther,Date,Location,Content,URL
लागूऔषधसहित युवक पक्राउ,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/08/3762
डुबेर दुईजना बालकको मृत्यु,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",रौतहट,,https://eprateekdaily.com/2020/10/08/3760
सुरक्षित तरीकाबाट राजस्व बुझाउने व्यवस्था मिलाउन ज्ञापन,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/08/3751
नगरप्रमुखलाई ज्ञापन,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/08/3746
हिमालयन डिस्टिलरीको विवाद मिल्यो,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",परवानीपुर,,https://eprateekdaily.com/2020/10/08/3764
बोरामा पुरुषको शव भेटियो,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/08/3766
१९ जना सङ्क्रमित थपिए,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/08/3749
प्रहरी निष्क्रियताको कारण सुधार नभएको बस व्यवसायीको आरोप,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/08/3754
भण्डारण गरिएको काठ बरामद,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",बिरुवागुठी,,https://eprateekdaily.com/2020/10/08/3740
विश्व दृष्टि दिवसमा आँखा शिविर,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/08/3757
बिरामीको स्वास्थ्यमाथि खेलबाड गरेको आरोप,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",परवानीपुर,,https://eprateekdaily.com/2020/10/08/3768
१३१ किलो गाँजासहित ओझैया पक्राउ,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",पंचगावाँ,,https://eprateekdaily.com/2020/10/08/3743
ठोरीमा १५ शय्याको अस्पताल निर्माण हुने,स्थानीय,प्रतीक दैनिक,"अशोज २२, २०७७",ठोरी,,https://eprateekdaily.com/2020/10/08/3737
८ किलो अफिमसहित एकजना पक्राउ,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",पोखरिया,,https://eprateekdaily.com/2020/10/07/3704
हिमालयन डिस्टिलरीमा मजदूरको हडताल,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",परवानीपुर,,https://eprateekdaily.com/2020/10/07/3702
स्वास्थ्य सेवाबारे समीक्षा गोष्ठी,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",पंचगावा,,https://eprateekdaily.com/2020/10/07/3689
डा केसीको जीवनरक्षाको माग गर्दै प्रदर्शन,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/07/3712
ट्रान्सपोर्ट कार्यालयमा सचेतना कार्यक्रम,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/07/3697
प्रअले विद्यालयको रकम अनियमितता गरेको आरोप,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",रौतहट,,https://eprateekdaily.com/2020/10/07/3695
वडा कार्यालयमा तालाबन्दी,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/07/3692
वन अतिक्रमणसम्बन्धी छानबीन समिति गठन,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",बिरुवागुठी,,https://eprateekdaily.com/2020/10/07/3700
ग्रामीण भेगमा बस र टेम्पोले यात्री ठग्दै,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",पोखरिया,,https://eprateekdaily.com/2020/10/07/3715
खोलामा महिलाको शव,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",पोखरिया,,https://eprateekdaily.com/2020/10/07/3707
१२ वर्षपछि आमा–छोरीको मिलन,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",ठोरी,,https://eprateekdaily.com/2020/10/07/3709
जनकपुरमा विद्यालयहरू खुले,स्थानीय,प्रतीक दैनिक,"अशोज २०, २०७७",जनकपुरधाम,,https://eprateekdaily.com/2020/10/06/3656
आइसोलेशन हटेको विद्यालयमा सफाइ भएन,स्थानीय,प्रतीक दैनिक,"अशोज २०, २०७७",पोखरिया,,https://eprateekdaily.com/2020/10/06/3661
विद्यालयहरु बन्द गर्ने निर्णय,स्थानीय,प्रतीक दैनिक,"अशोज २०, २०७७",सिराहा,,https://eprateekdaily.com/2020/10/06/3649
करको दायरामा नआउनेलाई सरकारी योजना,स्थानीय,प्रतीक दैनिक,"अशोज २०, २०७७",परवानीपुर,,https://eprateekdaily.com/2020/10/06/3645
सिराहामा नक्कली डिएसपी पक्राउ,स्थानीय,प्रतीक दैनिक,"अशोज २०, २०७७",सिराहा,,https://eprateekdaily.com/2020/10/06/3647
"ग्रामीणवासी महँगोमा बालुवा, गिट्टी किन्दै",स्थानीय,प्रतीक दैनिक,"अशोज २०, २०७७",सेढवा,,https://eprateekdaily.com/2020/10/06/3658
यतीको सिमराबाट उडान शुरूः भाडा दुर्ई हजार,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",जीतपुर,,https://eprateekdaily.com/2020/10/07/3686
"गाँजा, चरेसको तस्करी पूर्ववत्रूपमा शुरू",स्थानीय,प्रतीक दैनिक,"अशोज २०, २०७७",पंचगावाँ,,https://eprateekdaily.com/2020/10/06/3664
पर्सामा करीब चार हजार सुरक्षित घर निर्माण हुने,स्थानीय,प्रतीक दैनिक,"अशोज २०, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/06/3643
पर्सा र बाराका १५ जना सङ्क्रमित थपिए,स्थानीय,प्रतीक दैनिक,"अशोज २०, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/06/3654
अटोरिक्शा एकापसमा ठोक्किंदा एकजनाको मृत्यु,स्थानीय,प्रतीक दैनिक,"अशोज २१, २०७७",लहान,,https://eprateekdaily.com/2020/10/07/3684
महानगरको कालोपत्रेमा लगानी निरर्थक,स्थानीय,प्रतीक दैनिक,"अशोज २०, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/06/3651
बरामद सामान भन्सार चलान,स्थानीय,प्रतीक दैनिक,"अशोज २०, २०७७",रौतहट,,https://eprateekdaily.com/2020/10/06/3641
भारत पसेका आठजना नेपाल प्रहरीको जिम्मा,स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/05/3614
"नेपाल—भारत सीमा अधिकारीको बैठक, नेपाल–भारत सीमा तीन दिन सिल गर्ने निर्णय",स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",निजगढ,,https://eprateekdaily.com/2020/10/05/3619
तीनवटा घरमा आगलागी,स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",सेढवा,,https://eprateekdaily.com/2020/10/05/3601
चौपायासहित एकजना पक्राउ,स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",सेढवा,,https://eprateekdaily.com/2020/10/05/3622
ठेकेदारविरुद्ध नगरपालिकाले ठगी मुद्दा हाल्ने,स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",रौतहट,,https://eprateekdaily.com/2020/10/05/3617
घरेलु मदिरासहित दुईजना पक्राउ,स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",जीतपुर,,https://eprateekdaily.com/2020/10/05/3624
सात महीनापछि खोला खुल्दा सुकुमबासीहरूको मुहारमा खुशी,स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",निजगढ,,https://eprateekdaily.com/2020/10/05/3608
सिल सीमा खुला गर्न व्यापारीको माग,स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",रौतहट,,https://eprateekdaily.com/2020/10/05/3626
"लाखौंको कपडा, अलैंची बरामद",स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/05/3605
दुई स्थानमा रक्तदान ५२ जना सहभागी,स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/05/3611
चन्दाबाट श्मशानघाटको जग्गा खरीद,स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",पोखरिया,,https://eprateekdaily.com/2020/10/05/3603
नाला थुनिएर किसानको खेत कटान,स्थानीय,प्रतीक दैनिक,"अशोज १८, २०७७",परवानीपुर,,https://eprateekdaily.com/2020/10/04/3578
२१० जनालाई मोतीबिन्दु,स्थानीय,प्रतीक दैनिक,"अशोज १८, २०७७",पोखरिया,,https://eprateekdaily.com/2020/10/04/3569
पर्सामा दुई महीनामा १३ सय फर्म दर्ता,स्थानीय,प्रतीक दैनिक,"अशोज १८, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/04/3557
कम्पाइन प्रयोगकर्ता किसानलाई दोहोरो घाटा,स्थानीय,प्रतीक दैनिक,"अशोज १८, २०७७",सेढवा,,https://eprateekdaily.com/2020/10/04/3562
जीवनरक्षाको लागि दीप प्रज्वलन,स्थानीय,प्रतीक दैनिक,"अशोज १८, २०७७",परवानीपुर,,https://eprateekdaily.com/2020/10/04/3565
प्रनि सिंहको बिदाइ,स्थानीय,प्रतीक दैनिक,"अशोज १८, २०७७",पोखरिया,,https://eprateekdaily.com/2020/10/04/3572
शिवम् ह्याचरीविरुद्ध टोलवासीको आक्रोश,स्थानीय,प्रतीक दैनिक,"अशोज १८, २०७७",पंचगावाँ,,https://eprateekdaily.com/2020/10/04/3581
वार्षिक समीक्षा गोष्ठी सम्पन्न,स्थानीय,प्रतीक दैनिक,"अशोज १९, २०७७",पोखरिया,,https://eprateekdaily.com/2020/10/05/3598
बलात्कारी समात्न विशेष टोली परिचालन,स्थानीय,प्रतीक दैनिक,"अशोज १८, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/04/3575
चरेससहित दुईजना पक्राउ,स्थानीय,प्रतीक दैनिक,"अशोज १८, २०७७",पंचगावाँ,,https://eprateekdaily.com/2020/10/04/3567
बोइलर कुखुराभन्दा महँगो हरियो तरकारी,स्थानीय,प्रतीक दैनिक,"अशोज १८, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/04/3559
सवारी सञ्चालन कार्यविधि काम लागेन,स्थानीय,प्रतीक दैनिक,"अशोज १८, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/04/3584
